city,samples,accuracy,precision,recall
Joelside,1,1.0,0.0,0.0
Lake Ariana,1,1.0,1.0,1.0
Waltersmouth,1,1.0,1.0,1.0
Sharpmouth,1,1.0,1.0,1.0
Osbornmouth,1,1.0,1.0,1.0
Christinastad,1,1.0,1.0,1.0
Boydburgh,1,0.0,0.0,0.0
Oliviaburgh,1,1.0,1.0,1.0
North Brittany,1,1.0,0.0,0.0
Johnnymouth,1,1.0,1.0,1.0
Brownchester,1,1.0,0.0,0.0
Rachaelburgh,1,1.0,1.0,1.0
Lake Tony,1,1.0,1.0,1.0
South Andrea,2,1.0,0.0,0.0
Meganville,1,1.0,0.0,0.0
Stephensstad,1,1.0,1.0,1.0
Dannyburgh,1,1.0,0.0,0.0
Lake Joanneberg,1,1.0,0.0,0.0
New Patrickfurt,1,1.0,0.0,0.0
Claireton,1,1.0,0.0,0.0
Williamston,1,1.0,1.0,1.0
Elizabethborough,1,1.0,0.0,0.0
Kelseyfort,1,1.0,0.0,0.0
Daymouth,1,1.0,0.0,0.0
East Annville,1,1.0,1.0,1.0
Harringtonview,1,1.0,1.0,1.0
Stephenberg,1,1.0,1.0,1.0
Allenstad,1,1.0,0.0,0.0
Ericland,1,1.0,1.0,1.0
Johnfurt,2,1.0,1.0,1.0
Grahamborough,1,1.0,0.0,0.0
Oscarport,1,1.0,1.0,1.0
Edwinborough,1,1.0,0.0,0.0
South Lisastad,1,1.0,1.0,1.0
South Michael,1,1.0,0.0,0.0
Susantown,1,1.0,0.0,0.0
Catherineview,1,1.0,0.0,0.0
North Mikeberg,1,1.0,0.0,0.0
Barbarastad,1,1.0,0.0,0.0
West Gabriella,1,1.0,0.0,0.0
South Jennifermouth,1,1.0,0.0,0.0
Lake Richard,1,1.0,0.0,0.0
Hopkinstown,1,1.0,0.0,0.0
East Kayla,1,1.0,0.0,0.0
Michaelstad,1,1.0,1.0,1.0
Petersonhaven,1,1.0,0.0,0.0
Port Justin,1,1.0,0.0,0.0
East Andrew,1,1.0,0.0,0.0
Matthewview,1,1.0,0.0,0.0
New Kristy,1,1.0,1.0,1.0
Carrberg,1,1.0,1.0,1.0
Nicholsville,1,1.0,0.0,0.0
Lake Jesse,1,1.0,0.0,0.0
Bairdborough,1,1.0,1.0,1.0
Lake Edwardstad,1,0.0,0.0,0.0
Lake Haileyton,1,1.0,1.0,1.0
Port Jennifershire,1,1.0,0.0,0.0
East Colin,1,1.0,0.0,0.0
West Adamland,1,1.0,1.0,1.0
North Stephen,1,1.0,0.0,0.0
Jamesberg,1,1.0,0.0,0.0
Jacksonfurt,1,1.0,0.0,0.0
Petersonport,1,0.0,0.0,0.0
West Tiffanyside,1,1.0,0.0,0.0
Petersburgh,1,1.0,0.0,0.0
Port Brittanyfurt,1,1.0,1.0,1.0
Russellmouth,1,1.0,0.0,0.0
Port Erica,1,1.0,1.0,1.0
Lake Sarah,1,1.0,1.0,1.0
Lake Joshuaview,1,1.0,0.0,0.0
Ericafurt,1,1.0,0.0,0.0
South Brandon,1,1.0,1.0,1.0
Sarahland,1,1.0,0.0,0.0
Michaelton,1,1.0,1.0,1.0
East Jeffreyhaven,1,1.0,0.0,0.0
South Ashleystad,1,1.0,1.0,1.0
Gallagherberg,1,1.0,1.0,1.0
Millerchester,1,1.0,0.0,0.0
Proctorview,1,1.0,1.0,1.0
Port Steven,1,1.0,1.0,1.0
North Brian,1,1.0,1.0,1.0
Port Jason,2,1.0,1.0,1.0
West Rachael,1,1.0,1.0,1.0
New Lisamouth,1,1.0,0.0,0.0
North Sandraborough,1,1.0,0.0,0.0
Josephfort,1,1.0,1.0,1.0
Lake Juliatown,1,1.0,1.0,1.0
Mullenbury,1,1.0,1.0,1.0
South Lauren,1,1.0,0.0,0.0
Harrisville,1,1.0,0.0,0.0
Grayburgh,1,1.0,1.0,1.0
Stephanieland,1,1.0,1.0,1.0
Mariafurt,1,1.0,1.0,1.0
East Meghan,1,1.0,0.0,0.0
New Jenniferstad,1,1.0,1.0,1.0
Kaylamouth,1,1.0,0.0,0.0
Lake Brandonstad,1,1.0,1.0,1.0
East Robert,1,1.0,1.0,1.0
Mosleyland,1,1.0,1.0,1.0
Lake Christophermouth,1,1.0,1.0,1.0
Catherinehaven,1,1.0,0.0,0.0
New Amy,1,1.0,0.0,0.0
East Cameron,1,1.0,1.0,1.0
West Meredith,1,1.0,0.0,0.0
New Kristineborough,1,1.0,0.0,0.0
Reyesmouth,1,1.0,0.0,0.0
New Samanthabury,1,1.0,0.0,0.0
East Amyside,1,1.0,1.0,1.0
Mahoneymouth,1,1.0,0.0,0.0
Shawntown,1,1.0,0.0,0.0
Amberhaven,1,1.0,0.0,0.0
Lake Juliefurt,1,1.0,0.0,0.0
Petersonside,1,1.0,0.0,0.0
Donnaburgh,1,1.0,0.0,0.0
East Johnnyport,1,1.0,0.0,0.0
Matthewshire,1,1.0,1.0,1.0
West Bryanside,1,1.0,0.0,0.0
Davidtown,1,0.0,0.0,0.0
West Teresa,1,1.0,0.0,0.0
Erintown,1,1.0,1.0,1.0
Port Williamhaven,1,1.0,1.0,1.0
North Christine,1,1.0,0.0,0.0
Jefferyshire,1,1.0,0.0,0.0
Port Christopher,1,1.0,1.0,1.0
Christieton,1,1.0,1.0,1.0
Dakotahaven,1,1.0,1.0,1.0
Lindsayfurt,1,1.0,0.0,0.0
West Robertborough,1,1.0,0.0,0.0
Sheppardfort,1,1.0,0.0,0.0
New Anthony,1,1.0,0.0,0.0
New Madelinetown,1,1.0,1.0,1.0
Michaelshire,1,1.0,0.0,0.0
Barkerberg,1,0.0,0.0,0.0
Brendahaven,1,1.0,1.0,1.0
Shelbyfurt,1,1.0,0.0,0.0
Stephanieshire,1,1.0,0.0,0.0
Port Robertside,1,1.0,0.0,0.0
North Matthew,1,1.0,0.0,0.0
Frankberg,1,1.0,1.0,1.0
Rachaelchester,1,1.0,0.0,0.0
Bensonfort,1,1.0,0.0,0.0
Lake Elizabethside,1,1.0,1.0,1.0
Farmerside,1,1.0,0.0,0.0
Harrisview,1,1.0,0.0,0.0
North Michaelberg,1,1.0,1.0,1.0
North Charlesshire,1,1.0,0.0,0.0
Williamsport,1,1.0,1.0,1.0
Reedview,1,1.0,0.0,0.0
Micheleberg,1,1.0,0.0,0.0
